TERM,PATHWAYS,INTERACTIONS
Q56A73,0,5
Q58FF7,0,0
Q5BJE1,0,2
Q5DID0,0,2
Q5BKY9,0,8
Q5H9M0,0,0
Q5H9T9,0,4
Q5I0G3,0,19
Q5JT82,0,3
Q5JR98,0,7
Q5JTY5,0,24
Q5JX69,0,0
Q5M775,0,24
Q5M7Z0,0,9
Q5SVJ3,0,0
Q5SWX8,0,13
Q5SVZ6,0,24
Q5SXM8,0,20
Q5SZJ8,0,18
Q5SZI1,0,0
Q5T035,0,0
Q5T0F9,0,15
Q5T0N1,0,2
Q5T1A1,0,0
Q5T0U0,0,8
Q5T1N1,0,8
Q5T4I8,0,0
Q5T4F7,1,24
Q5T6F0,0,23
Q5T742,0,0
Q5T9C9,3,24
Q5U649,0,0
Q5TEA3,0,0
Q5VT40,0,5
Q5VT99,0,1
Q5VTM2,0,1
Q5VTQ0,0,13
Q5VVW2,1,22
q5vzb9,0,10
q5vwp2,0,24
Q5VZI3,0,10
Q62904,0,0
Q63081,0,0
Q64ET8,0,1
q641q3,0,6
Q68D20,0,0
Q68DU8,0,2
Q68DH5,0,15
Q68DX3,0,4
Q69383,0,0
Q69YU3,0,24
Q6DWJ6,0,0
Q6GTS8,0,2
Q6GV28,0,1
Q6GYQ0,1,19
Q6JVE9,0,0
Q6ICL3,0,24
Q6NSI1,0,0
q6nsi3,0,2
Q6NSI8,0,12
Q6NT89,0,1
Q6NSJ0,0,15
Q6NXP6,0,1
Q6NXR4,0,24
Q6NY19,0,5
Q6P1K8,0,20
Q6P158,0,24
Q6P2D8,0,6
Q6P3X3,0,24
Q6P3X8,0,1
Q6PB30,0,3
Q6PIY7,0,13
Q6PP77,0,20
Q6PK18,0,14
Q6Q4G3,0,8
Q6RUI8,0,0
Q6QNK2,0,8
Q6T423,0,1
Q6UB28,0,12
Q6UW49,0,1
Q6UW56,0,8
Q6UWE3,0,2
Q6UWT2,0,14
Q6UWK7,0,0
Q6UWW9,0,11
q6uwy2,0,0
Q6UX01,0,10
Q6UXR4,0,0
Q6UXG2,0,11
Q6UY18,0,1
Q6W349,0,0
Q6X4U4,1,22
Q6YN16,0,24
Q6XYB7,0,2
Q6ZMI3,0,5
Q6ZMY3,0,5
Q6ZN04,0,24
Q6ZNA5,0,25
Q6ZN54,0,24
Q6ZNB6,0,21
Q6ZP98,0,0
Q6ZNW5,0,46
Q6ZPD9,0,9
q6zrf8,0,13
Q6ZRP0,0,0
Q6ZRS4,0,0
Q6ZTI6,0,5
Q6ZV56,0,0
Q6ZUB0,0,0
Q6ZW13,0,0
Q6ZWJ1,2,24
Q70EL3,0,24
Q711Q0,0,0
Q71H61,0,9
Q75LS8,0,0
Q76I76,0,24
Q7L985,0,14
Q76NI1,0,7
Q7RTS9,0,23
Q7RTU0,0,3
Q7RTU1,0,6
Q7RTV3,0,18
Q7Z3E1,0,25
Q7Z4M0,0,0
Q7Z3U7,0,24
Q7Z4W2,0,24
Q7Z601,0,4
q7z5l0,0,0
Q7Z602,0,14
Q7Z6C1,0,0
Q7Z6W7,0,13
Q86T20,0,4
Q86SQ4,0,9
Q86TD4,0,6
Q86TM3,0,4
Q86UD3,0,20
Q86VD1,0,11
Q86UW7,0,19
Q86W25,0,2
Q86WD7,0,1
Q86W50,0,14
Q86WS3,0,1
Q86X45,0,17
Q86X76,0,24
Q86YD1,0,26
Q86XK7,0,24
Q86YD5,0,5
Q86YJ5,0,6
Q86YQ8,0,24
Q86YR7,0,10
Q86YV5,0,24
Q8IU81,1,25
Q8IUD2,2,26
Q8IUG5,1,14
Q8IUF1,0,16
Q8IUR5,0,10
Q8IV13,0,24
Q8IV32,0,23
Q8IV45,1,24
Q8IVL8,0,1
Q8IVM7,0,0
Q8IW03,0,2
Q8IWB6,0,18
Q8IWB9,0,22
Q8IWU6,0,24
Q8IWZ3,0,24
Q8IX21,0,18
Q8IXB3,0,9
Q8IYA2,0,0
Q8IY84,0,11
Q8IYG6,0,8
Q8IYT1,0,4
Q8IYR6,0,24
Q8IYT3,0,7
Q8IZ81,0,7
Q8IZF7,0,2
Q8IZL9,0,26
Q8IZJ3,0,6
Q8IZN3,0,17
Q8N0X2,0,13
Q8IZU2,0,9
Q8N0Y7,0,24
Q8N2E2,0,10
Q8N1G1,0,10
Q8N2I9,0,25
Q8N2U0,0,24
Q8N2R8,0,17
Q8N2Y8,0,19
q8n336,0,16
Q8N309,0,0
Q8N344,0,24
Q8N3S3,0,14
Q8N412,0,4
Q8N4C9,0,0
Q8N4P6,0,2
Q8N573,0,24
Q8N4W6,0,12
Q8N5C6,0,24
Q8N5L8,0,24
q8n5q1,0,24
Q8N6G1,0,0
Q8N6C7,0,0
Q8N6G2,0,3
Q8N6M0,1,24
Q8N6Q8,0,8
Q8N7C7,0,4
Q8N6S4,0,12
q8n7x0,0,8
Q8N819,0,12
Q8N8A8,0,6
Q8N8F6,0,2
Q8N8F7,0,6
Q8N8I0,0,11
Q8N8L2,0,19
Q8N910,0,0
Q8N8R5,0,0
Q8N957,0,4
Q8N967,0,0
Q8N9B4,0,16
Q8N9H9,0,0
Q8N9H8,0,6
Q8N9L1,0,24
Q8N9R6,0,0
Q8N9N7,0,12
Q8N9Z9,0,7
Q8NCU4,0,11
Q8NBA8,0,15
Q8NCV1,0,1
q8nd94,0,1
Q8NDB2,1,10
Q8NDY4,0,0
Q8NDD1,0,0
Q8NEE8,0,8
Q8NEG4,0,2
Q8NEG5,0,11
Q8NHK3,0,0
Q8NF99,0,24
Q8NHS2,3,48
Q8NHV1,0,2
Q8TAL6,0,1
Q8TB22,0,24
Q8TAY7,0,13
Q8TB68,0,24
Q8TC36,0,7
Q8TCY5,0,11
Q8TDC3,1,28
Q8TD26,0,25
Q8TDF5,0,14
Q8TDG2,0,5
Q8TDM0,0,24
Q8TDR2,0,24
Q8TDS7,0,1
Q8TDV2,0,1
Q8TDW4,0,24
Q8TDX9,0,2
Q8TDY3,0,1
Q8TEE9,0,24
Q8TE99,2,30
Q8TEQ0,0,7
Q8TF01,0,24
Q8WU76,0,22
Q8WUF8,0,13
Q8WV07,0,13
Q8WVH0,0,19
Q8WVZ1,0,3
Q8WVZ7,0,5
Q8WW32,0,4
Q8WWK9,0,24
Q8WWR9,0,0
Q8WXH2,0,24
Q8WXQ8,0,18
Q8WYK1,0,8
Q8WYN3,0,24
Q8WZ69,0,0
Q92484,0,11
Q92543,0,9
Q92485,0,24
Q92832,0,24
Q92874,0,16
Q969X0,0,7
Q96AK3,0,24
Q96A19,0,24
Q96BQ3,0,21
Q96C90,2,16
Q96C34,0,12
Q96CM3,0,24
Q96CN7,0,24
Q96CT7,0,24
Q96DB9,0,11
Q96DT0,0,9
Q96E09,0,25
Q96EE4,0,4
Q96EX2,0,2
Q96EH8,0,2
Q96F63,0,24
Q96GR4,0,7
Q96GP6,0,9
q96ha7,0,24
q96hh4,0,2
Q96IL0,0,0
Q96JC1,1,24
Q96J77,0,13
Q96JG6,0,24
Q96K78,0,4
Q96JJ6,0,24
Q96KC8,0,24
Q96KJ9,0,31
Q96L11,0,2
Q96LB0,0,1
Q96LD4,0,25
Q96LL4,0,0
Q96LW9,0,14
Q96M53,0,3
Q96LY2,0,24
Q96M98,0,24
Q96MF4,0,22
Q96MD7,0,0
Q96MH7,0,0
Q96MT1,0,13
Q96MZ4,0,2
Q96NF6,0,0
Q96N95,0,20
Q96NL8,0,0
Q96PU9,0,4
Q96Q06,0,5
Q96QS1,0,3
Q96RQ1,0,24
Q96RY5,0,19
Q96S15,0,24
Q96S94,0,25
Q96S86,0,19
Q96SC8,0,1
Q96SL8,0,21
Q96SK2,0,24
Q96T59,0,9
Q99929,0,24
Q99946,0,6
Q9BQ49,0,18
Q9BQN1,0,24
Q9BQW3,0,4
Q9BRQ4,0,24
Q9BT73,0,24
Q9BSK0,0,4
Q9BTV5,0,24
Q9BUB7,0,24
Q9BUL5,0,24
Q9BUT9,0,9
Q9BVV6,0,24
Q9BWV2,0,2
Q9BWE0,0,29
Q9BXA9,0,24
Q9BXL6,1,14
Q9BXF6,0,24
Q9BXU1,0,10
Q9BXU2,0,2
Q9BXY0,0,24
Q9BY79,0,3
Q9BZ81,0,1
Q9BZA0,0,0
Q9C099,0,23
Q9C0H6,0,13
Q9GZM3,0,4
Q9GZN0,0,1
Q9GZN1,0,24
Q9H098,0,19
Q9H089,0,24
Q9H0I3,0,12
Q9H213,1,24
Q9H269,0,24
Q9H2G2,1,25
Q9H2R5,0,16
Q9H2U9,0,2
Q9H321,0,0
Q9H4Q4,0,24
Q9H425,0,0
Q9H4S2,0,24
Q9H4Z3,0,25
q9h511,0,1
Q9H5Z1,0,24
Q9H582,0,25
Q9H665,0,6
Q9H6E4,0,9
q9h714,0,12
Q9H7B7,0,0
Q9H777,0,2
Q9H7X2,0,0
Q9H808,1,9
Q9H8X9,0,13
Q9HAH7,0,24
Q9H977,0,24
Q9HBJ7,0,5
Q9HC38,0,24
Q9HBU9,0,24
Q9HC57,0,8
Q9HCJ5,0,7
Q9HCP0,9,33
Q9JIM0,0,0
Q9NQ03,0,24
Q9NQ89,0,0
Q9NQR7,0,18
Q9NQV8,0,24
Q9NQV6,0,24
Q9NQZ6,0,24
Q9NRY2,0,24
Q9NS25,0,6
Q9NSG2,0,0
Q9NSY1,0,24
Q9NTX5,1,17
Q9NTG1,0,16
Q9NVM6,0,24
Q9NVV0,0,13
Q9NVX7,0,24
Q9NW07,0,5
Q9NWL6,0,5
Q9NX31,0,22
Q9NX38,0,0
Q9NXH3,0,5
Q9NXC2,0,24
Q9NXS3,0,23
Q9NYC9,0,11
Q9NXV6,0,24
Q9NYL4,0,18
Q9NZH4,0,0
Q9NYP8,0,0
Q9NZI6,0,9
Q9NZM6,0,7
Q9NZQ0,2,22
Q9P003,0,18
Q9P0W8,0,18
Q9P1J3,0,0
Q9P1T7,1,11
Q9P273,0,22
Q9P1W9,0,24
Q9P2C4,0,4
Q9P2X3,0,22
Q9P2S5,0,24
Q9UBI4,0,11
Q9UFP1,0,0
Q9UEE5,0,28
Q9UIF8,0,24
Q9UJJ7,0,4
Q9UJW7,0,2
Q9UK61,0,0
Q9UK23,0,24
Q9UKZ4,0,24
Q9UL68,0,8
Q9UL36,0,7
Q9ULA0,0,24
Q9ULE0,0,17
Q9ULE4,0,2
Q9ULW6,0,20
Q9ULJ6,3,25
Q9UMR2,0,27
Q9UNZ5,0,0
Q9UPS8,0,23
Q9UPW8,0,9
Q9Y2D1,2,25
Q9Y2G9,0,3
Q9Y2I8,0,24
Q9Y2U9,0,24
Q9Y388,0,24
Q9Y485,0,24
Q9Y3B8,0,15
Q9Y493,0,4
Q9Y5E2,2,24
Q9Y5F3,2,18
Q9Y5G1,0,3
Q9Y5G9,0,3
Q9Y5R6,0,4
q9y5w7,0,22
Q9Y5W8,0,16
Q9Y603,0,24
Q9Y615,0,4
Q9Y608,0,24
Q9Y693,0,5
Q9Y6U3,2,24
Q9Y6R0,1,24
Q9Y6U7,0,2
REXO2,0,15
RASD2,0,24
RFTN1,0,14
RHCE,0,6
RFXAP,0,24
RIMBP2,0,5
RSL24D1,0,24
ROPN1L,0,6
RTBDN,0,19
SERF1A,0,15
SAA4,0,3
SERF2,0,24
SHISA3,0,1
SLC25A53,0,2
SLC7A13,0,2
SPATC1,0,7
SPIB,0,25
SPIN2A,0,10
STPG1,0,0
SUSD2,0,23
SYNRG,0,24
SYNGR4,0,9
TAGLN3,0,24
tanc1,0,24
TBL2,0,24
TENT5C,0,24
TEX13B,0,2
THAP5,0,7
THEM6,0,25
THUMPD2,0,13
TIMM29,0,24
TMEM183B,0,0
TMEM174,0,11
TMEM214,0,24
TRAM2,0,9
TMPRSS11A,0,9
TRDC,1,0
TRGC1,0,0
TRUB1,0,24
TSSK2,0,24
TSPYL1,0,24
UBR7,0,24
VEPH1,0,11
UNC45A,0,24
VPS16,0,24
WDR63,0,4
VPS26B,0,24
YPEL4,0,20
ZACN,0,24
ZADH2,0,36
ZC3H4,0,24
ZBED9,0,8
ZFP62,0,21
ZNF396,0,20
ZNF251,0,13
ZNF674,0,1
ZPLD1,0,11
Zscan20,0,24
111814,0,0
A0A087WSZ0,0,0
A0A0J9YXX1,0,0
A0A096LPI5,0,0
A1L390,0,24
A6NDA9,0,1
A2IDD5,0,7
A6NDU8,0,0
A6NEF3,0,0
A6NI86,0,1
A6NJW4,0,1
A6NJ46,0,4
A6NK02,0,0
A6NLW8,0,0
A8MQT2,0,1
BPIFA4P,0,0
ADGRG2,0,24
C10orf90,0,0
C19orf12,0,0
C9JJ37,0,0
CALML6,0,3
CARD16,0,9
CCDC113,0,12
CC2D1A,1,24
CCDC39,0,3
CEACAM21,0,24
CDC123,0,20
CELA1,0,24
CEP295,0,18
CELF5,0,24
CFAP45,0,5
CLEC3A,0,24
CHADL,0,1
clecl1,0,0
COLCA1,0,16
CPNE4,0,24
CT47A3,0,0
CRYGS,0,13
CT47A7,0,0
CTAGE3P,0,0
ct47b1,0,0
CYP2G1P,1,24
CYYR1,0,7
DELE1,0,7
DPP8,1,24
DNAH7,1,12
DPY19L4,0,16
DSCR4,0,1
Egfl8,0,16
ENC1,0,23
ELFN1,0,2
EQTN,0,0
ERN2,0,1
F8VTS6,0,0
FAM90A20P,0,0
FAM189A2,0,24
FAM90A8P,0,0
fcrn,0,0
FCRL5,0,9
FDCSP,0,7
FKRP,0,24
FMO4,1,24
FNDC4,0,21
FRMD4B,0,3
FSIP1,0,6
FUT9,3,32
GABRE,0,24
GAGE12G,0,5
GAGE2D,0,3
GDPD2,0,24
GGTA1P,0,1
GGTLC2,1,1
GIPC3,0,8
GLIPR1L1,0,0
glyphosate,0,0
GPATCH3,0,3
GPR180,0,7
GPR135,0,7
GPR33,0,1
GPR82,0,3
GPR78,0,1
HARBI1,0,5
IGFBPL1,0,1
IGDCC3,0,8
IQCH,0,7
ITFG2,0,23
ITGB1BP1,0,25
KANK3,0,5
KAAG1,0,3
KIAA1107,0,5
L3HYPDH,0,24
MAP3K15,0,8
MPV17L2,0,2
MRGPRX1,0,4
NAT16,0,8
MS4A5,0,2
NIPSNAP3B,0,1
NOL8,0,24
O15522,0,18
O60449,0,6
O60381,6,26
O75071,0,5
O75425,0,14
O75121,0,2
O75449,1,27
O75596,0,0
O75631,0,7
O88448,0,0
O75677,0,2
O94768,0,24
ODAPH,0,24
o94985,0,24
P0C5K6,0,0
P0C6S8,0,0
P0C7U3,0,0
p0cap1,0,24
P0CAP2,0,24
P0CJ88,0,0
P0CH07,0,0
P0CJ89,0,0
P0CJ90,0,0
P0DKB6,0,0
P10265,0,0
P0DN77,0,0
P11230,1,16
P12525,0,0
P31512,0,24
P36915,0,25
P32314,0,18
P46089,0,24
P4HTM,0,14
P49326,0,24
P51397,0,6
P51792,0,0
P53804,0,25
P59047,0,10
P55107,9,19
P61567,0,0
P63325,0,0
P98073,0,8
PCDHB3,2,16
PDCL3,0,22
PMS1,0,24
PMFBP1,0,8
PPP4R3B,0,24
PTRHD1,0,9
PZP,0,13
Q01621,0,0
Q05952,0,16
q14390,1,1
Q09019,0,24
Q15035,0,9
Q2TAM9,0,4
Q17RP2,0,24
Q2VPA4,0,2
Q3MIT2,0,8
q4g112,0,3
Q504Y0,0,24
Q52LC2,0,2
Q5DX21,0,4
Q53EV4,0,3
Q5H9B9,0,0
Q5SZL2,0,11
Q5T2N8,0,11
Q5T4T6,0,3
Q5VY43,0,8
Q641Q2,0,24
q5vz66,0,3
Q68D42,0,1
Q68EA5,0,14
Q693B1,0,6
Q6DKI1,0,24
Q6NXR0,0,17
Q6P9H5,0,2
q6pj69,0,24
Q6SPF0,0,0
Q6QAJ8,0,7
Q6ZSU1,1,0
Q6ZV50,0,5
Q6ZWH5,0,13
Q7Z4Q2,0,24
Q7Z5H5,0,1
Q7Z5J8,0,2
Q7Z5Y6,1,11
Q86SJ2,0,16
Q7Z6J2,0,17
Q86UP3,0,25
Q86VR8,0,5
Q86UU9,0,8
Q86VS3,0,7
Q8IUH4,0,12
Q86XN8,0,24
Q8IV50,0,24
Q8IVU1,0,8
Q8IW36,0,14
Q8IWK6,0,5
Q8IWB7,0,24
Q8IY50,0,3
Q8IYA6,0,6
Q8IYW4,0,4
Q8N187,0,22
Q8IZF3,0,1
Q8N1A6,0,0
Q8N3V7,0,24
Q8N1S5,0,27
Q8N3X6,0,16
Q8N7R0,0,0
Q8N475,0,18
Q8N8W4,0,11
Q8NCU8,0,0
q8naa5,0,0
Q8NDA8,0,5
Q8NEP4,0,0
Q8NFQ6,0,0
Q8NHV9,0,4
Q8NHP7,0,8
Q8TCQ1,0,24
Q8WTP9,0,16
Q8WTU2,0,4
Q8WVB6,0,24
Q92545,0,24
Q92623,0,2
Q92904,0,15
Q96A57,0,20
Q969E4,0,7
Q96AZ1,0,24
Q96DE9,0,0
Q96B42,0,5
Q96FG2,0,5
Q96FQ6,0,25
q96g46,0,24
Q96ID5,0,24
Q96KC9,0,12
Q96KG7,0,24
Q96KN2,5,49
Q96KT6,0,0
Q96KS9,0,24
Q96L03,0,5
Q96NX9,0,18
Q96MI6,0,9
Q96NZ8,0,14
Q96PL5,0,20
Q96P50,0,11
Q96RP7,0,15
Q96SL1,0,0
Q96SE0,0,8
Q99218,0,4
Q99501,0,24
Q99729,0,24
Q9BXT8,0,17
Q9BRU2,0,16
Q9BY10,0,1
Q9BYH1,0,24
Q9C0G0,0,16
Q9H0C3,0,12
Q9H0R4,0,19
Q9H3W5,0,24
Q9H2S5,0,16
Q9H3Y8,0,1
Q9H6S3,0,25
Q9HA90,0,1
Q9HBD1,0,24
Q9HCM1,0,0
Q9NPC7,0,11
Q9NR16,0,0
Q9NXJ0,0,3
Q9NVA1,0,24
Q9NXW2,0,25
Q9NY43,0,24
Q9NYY8,0,24
Q9NZP8,0,5
Q9P016,0,15
Q9P266,0,8
Q9P2V4,0,3
q9ufe4,0,3
Q9UBH6,0,25
Q9UHN6,0,23
Q9UJV8,0,17
q9uli3,0,7
q9umx3,1,20
Q9ULV3,0,24
Q9UPQ7,0,18
Q9Y2B0,0,25
Q9UPX0,0,1
Q9Y2E4,0,7
Q9Y5M6,0,0
Q9Y664,0,24
REACT_2054,0,0
rftn2,0,24
RFXANK,2,25
RFX7,0,9
RND2,2,22
RSBN1,0,24
SERPINA7,0,24
SNN,0,13
SMAP1,0,24
SNX16,0,16
SOBP,0,24
SPACA3,0,7
ST7L,0,24
STK31,0,10
syringe,0,0
STXBP4,2,24
SYT13,0,8
Tal2,0,18
TCEAL1,0,24
TCIM,0,6
tent4b,0,24
TGIF2LY,0,24
TIFAB,0,2
TMEM181,0,4
TIGD1,0,7
tmigd2,0,2
TPPP2,0,1
tusc2,0,16
TXNDC15,0,24
TXLNGY,0,4
VCX3A,0,0
wdr53,0,17
XAGE2,0,12
ZNF236,0,7
XPO6,0,24
A0A2I3RPN5,0,0
A1L1A6,0,0
A6NIM6,0,2
A8MVS5,0,0
A8MTB9,0,0
AP3B2,0,15
atoh8,0,22
ARL5A,0,24
B3KMD8,0,0
CBWD2,0,16
CBWD3,0,2
CCDC115,0,24
CCER1,0,23
CELA2B,0,19
CELF6,0,14
CRPPA,0,0
DNAJB14,0,10
DUOXA1,0,3
ECEL1,1,22
fam46c,0,0
EIF2D,0,24
FAM72D,0,6
FAM90A18P,0,0
FAM9C,0,7
FEZ2,0,24
GAGE12J,0,0
gibberellin,0,0
GPR156,0,24
GYPE,0,1
H2BFWT,0,1
I6L9I5,0,0
INSC,0,17
IQCJ,0,0
METTL9,0,24
O15061,0,24
O14514,0,24
O75054,0,24
O75409,0,10
O75570,0,7
O75900,1,9
O94832,1,24
O95996,1,25
P0C7Q5,0,0
P0CJ69,0,0
P0CG38,0,24
P0DN87,0,6
P11835,0,0
P17025,0,1
P17342,0,24
P17097,0,12
P19827,0,27
P20742,0,13
P20264,0,24
P36268,2,13
P47874,0,5
PABPC5,0,16
Q02221,0,34
Q05215,2,24
Q13117,0,3
Q11128,2,30
Q13956,3,25
Q15493,3,23
Q16612,0,25
Q5VV63,0,15
Q5TZA2,0,24
Q66K79,0,9
Q6PJT7,0,24
Q6TFL3,0,9
Q6ZR08,0,24
Q6UXZ0,0,11
Q7LC44,0,24
Q86W28,0,0
Q7Z442,0,5
Q86YB7,0,28
Q8IYP9,0,11
Q8IXU6,0,18
Q8NCN2,0,12
Q8WZ75,0,22
Q8NI99,0,3
Q92686,1,24
Q96GE9,0,3
Q96AE4,0,27
Q96HZ7,0,0
Q96QA5,0,22
Q96JY6,0,25
Q99679,0,0
Q99784,0,25
Q99999,2,38
Q9BRH9,0,13
Q9BVG4,0,24
Q9H2A3,1,18
Q9BZJ3,0,29
Q9H2W2,0,2
Q9NR00,0,6
Q9H2Z4,0,2
q9nyq8,2,15
Q9P0W0,0,2
Q9UBP4,7,24
Q9UHF5,1,16
Q9UQ03,0,24
Q9Y5F2,2,25
Q9Y5F0,2,15
Q9Y5F7,2,17
Q9Y5G0,0,3
Q9Y5H0,2,16
q9y689,0,24
RTCA,0,24
sorafenib,0,0
THEG,0,3
VPS50,0,24
amigo3,0,19
ASMTL,0,18
cdca2,0,24
CTBS,0,6
FAM213A,0,24
LYG2,0,24
IGFL4,0,0
NAALADL1,0,7
nova-1,0,0
NMD3,0,24
NRSN2,0,14
NUAK2,0,25
O15403,0,24
O95490,0,24
R-HSA-73777,1,63
P0C1S8,0,24
P15621,0,10
P19075,0,8
PAXBP1,0,24
PCDHB10,2,20
PIN1P1,0,1
PKDREJ,0,16
Q13045,0,24
Q6PGN9,0,22
Q13938,0,5
Q86YV9,0,18
Q8TDW7,2,24
q8nef9,0,24
Q96KR1,0,25
Q96RD9,0,9
Q96KR4,0,9
Q9H1E5,0,24
Q9HCU4,2,25
Q9HBW9,0,1
Q9NQT6,0,5
Q9P2B2,0,24
Q9NS98,0,5
Q9UQ07,0,24
R-MMU-70153,0,0
R-MMU-73923,0,0
TAC4,0,8
SPANXC,0,3
TIGD2,0,9
TP53TG5,0,8
TOR3A,0,24
UBQLN3,0,3
WDR41,0,23
WFDC5,0,9
ZBED4,0,13
ACTRT3,0,0
AGFG2,0,18
ANKLE1,0,1
ARL4C,1,24
C5orf38,0,0
EVX2,0,11
DNAJC14,0,23
KIAA1324,0,11
KLHL40,0,24
KIAA1549L,0,9
KNCN,0,8
MFSD10,0,20
OLFML3,0,24
PCDHGA4,0,3
PCDHGA3,2,16
PCDHGA8,2,15
PPP1R14D,0,5
PKHD1L1,0,17
PRM2,0,8
Q59FS6,0,0
Q59G93,0,0
Q6U8A4,0,0
Q7Z4P3,0,0
Q86T04,0,0
Q8IWB1,0,24
Resp18,0,0
Q9NR99,0,9
SETMAR,1,24
TMEM207,0,11
SLCO5A1,0,27
TP53I11,0,14
TWSG1,0,10
UBAP2L,0,24
VWA8,0,24
URAD,2,1
101060747,0,0
AVL9,0,12
AKAP14,0,17
BPIFB3,0,6
CLEC18C,0,13
C1QTNF6,0,24
DSCC1,0,23
FSCB,0,4
MAP9,0,24
MLIP,0,15
P04808,5,18
Q9HB31,0,0
SLC31A2,0,35
SMR3B,0,24
TECPR2,0,13
TEX14,0,18
TEN1,0,3
TMSB4Y,0,8
ZNF219,0,24
AP3M2,0,17
BRI3BP,0,25
cep112,0,9
HELB,0,26
DKKL1,0,24
KHDC1,0,0
KLK9,0,21
KLK15,0,16
LZIC,0,22
PCDHA12,2,24
PNMA6A,0,12
RNASEH2A,0,24
STYX,1,24
CFDP1,0,24
ASTL,0,7
EIF1B,0,24
FCRLB,0,3
IGSF9,0,7
baiap2l2,0,8
MXRA7,0,22
MAGED4B,0,21
TFAP2 (AP-2) family regulates transcription of growth factors and their receptors,57,0
cMYC,0,0
SCGB2B2,0,2
PLAC4,0,0
SLC38A6,0,19
CPXM1,0,6
FSD1L,0,6
PFN3,1,9
SLC25A36,0,5
SLC25A39,0,10
TPD52L3,0,13
LGALS12,0,9
TCTEX1D4,0,7
GPR89B,0,24
INSL4,0,3
SPATA17,0,5
UPK1A,0,24
CHRAC1,0,24
C6orf89,0,0
PYY2,0,8
SAMSN1,0,19
KCP,0,1
USP27X,0,6
WDR37,0,24
ARMC3,0,4
DAZ3,0,1
DNAH6,0,11
TEX28,0,24
MTCH1,0,24
ZPBP,0,10
BTG4,0,12
FTCDNL1,0,0
IGSF5,0,5
GOLGA8B,0,1
UPK2,0,24
MZB1,0,8
CPEB2,0,24
NSRP1,0,24
NKAIN2,0,48
101929240,0,0
RPS6,35,48
A0A075B6H9,0,0
A0A075B6I4,0,0
A0A075B6J6,0,0
A0A075B6J9,0,0
A0A075B6N1,0,0
A0A075B6Q5,0,0
A0A075B6S5,0,0
A0A075B6T6,0,0
A0A075B6T7,0,0
A0A075B6T8,0,0
A0A075B6U4,0,0
A0A087WSZ9,0,0
A0A087WW87,0,0
A0A0A0MT36,0,0
A0A0A6YYJ7,0,0
A0A0B4J1U6,0,0
A0A0B4J1U3,0,0
A0A0B4J1U7,0,0
A0A0B4J1Y8,0,0
A0A0B4J1V1,0,0
A0A0B4J244,0,0
A0A0B4J265,0,0
A0A0B4J273,0,0
A0A0B4J275,0,0
A0A0B4J276,0,0
A0A0B4J2E0,0,0
A0A0B4J2F0,0,0
A0A0C4DH31,0,0
A0A0C4DH33,0,0
A0A0C4DH62,0,0
A0A0C4DH39,0,0
A0A0C4DH72,0,0
A0A0K0K1A3,0,0
A0A0J9YWL9,0,0
A0A0K0K1C0,0,0
A0A0U1RRN3,0,0
A0A1B0GTL2,0,0
A0A1B0GTR4,0,0
A0A1B0GTZ2,0,24
A0A1B0GUY1,0,0
A0A1B0GVK7,0,0
A0A1B0GVM6,0,0
A0A1B0GVS7,0,0
A0A1B0GX51,0,0
A0A576,0,0
A0A584,0,0
A1A5D9,0,12
A1L453,0,1
A2RU48,0,9
A2VCL2,0,0
A3KMH1,0,24
A4D0V7,0,4
A4D0Y5,0,0
A4D174,0,0
A4D1S0,0,24
A4D1T9,0,11
a4d263,0,3
A4D2B8,0,0
A4D2B0,0,3
A4FU49,0,12
A4QN01,0,0
A4QPH2,0,0
A4UGR9,0,12
A5A3E0,0,24
A5D8T8,0,15
a5d8w1,0,8
A6BM72,0,4
A5PLN7,0,3
A6NC42,0,1
A6NDE8,0,0
A6NDI0,0,0
a6nfe2,0,0
A6NF34,0,0
A6NFT4,0,2
A6NGH7,0,1
A6NG13,0,1
a6ngu7,0,0
A6NHN0,0,1
A6NGZ8,0,0
A6NHQ2,0,1
A6NHZ5,0,0
A6NHS7,0,0
A6NI79,0,24
A6NIN4,0,0
A6NJ08,0,0
A6NJI9,0,0
A6NJI1,0,0
A6NJW9,0,0
A6NK44,0,1
A6NKC9,0,0
A6NKF1,0,0
a6nkw6,0,0
A6NLC5,0,0
A6NLI5,0,1
A6NLU0,0,2
A6NM11,0,1
A6NNJ1,0,0
A6NN90,0,0
A6NNL0,0,1
A6NNY8,0,6
A6NNT2,0,0
A8K830,0,0
A8K979,0,7
A8MRT5,0,1
A8MT33,0,0
A8MT65,0,3
A8MWL7,0,0
A8MTL0,0,2
A8MXV6,0,1
A8MYX2,0,0
A8MYA2,0,0
A8MZA4,0,0
ADGRA1,0,1
ADGRL1,0,25
angiogen,0,0
ADGRL4,0,1
AVPRIA,0,0
B0FP48,0,0
B1AL46,0,0
B1AL88,0,1
B2RXH2,0,0
B4E2T1,0,0
B5MCN3,0,0
B7Z1M9,0,0
b7z2c8,0,46
B7Z3W6,0,0
B7Z368,0,0
B7ZAP0,0,24
biofilm,1,0
B9A014,0,0
BORCS7,0,5
C9J302,0,0
C9J442,0,0
C9J6K1,0,0
C9JFL3,0,0
C9JL84,0,0
C9JLR9,0,0
C9JQI7,0,1
C9JUS6,0,0
CASTOR2,0,4
Castor1,0,10
